5
x  y  z
916 888 0
841 893 0
747 856 0
776 823 0
723 796 0
684 676 0
626 678 0
728 617 0
571 586 0
560 546 0
543 577 0
564 565 0
537 438 0
345 419 0
427 461 0
427 447 0
407 390 0
344 381 0
293 284 0
300 305 0
288 321 0
288 358 0
344 311 0
336 267 0
292 281 0
292 234 0
266 217 0
222 193 0
220 179 0
197 146 0
148 157 0
177 201 0
184 140 0
150 144 0
120 182 0
111 148 0
108 129 0
100 122 0
148 111 0
114 112 0
103 92 0
98 94 0
71 95 0
82 72 0
81 77 0
82 58 0
55 63 0
61 59 0
61 52 0
81 70 0
68 72 0
53 61 0
54 41 0
62 40 0
19 37 0
30 65 0
29 42 0
35 27 0
28 41 0
32 24 0
21 29 0
30 38 0
26 37 0
13 31 0
18 17 0
21 18 0
37 21 0
27 18 0
28 28 0
20 22 0
18 28 0
10 12 0
22 11 0
19 11 0
4 9 0
5 20 0
5 14 0
34 7 0
5 7 0
4 7 0
5 14 0
7 1 0
5 12 0
3 4 0
1 11 0
2 8 0
4 11 0
0 8 0
4 7 0
9 11 0
0 0 0
4 6 0
0 1 0
2 4 0
3 2 0
1 3 0
0 16 0
0 2 0
6 0 0
0 0 0
0 0 0
2 0 0
0 3 0
1 8 0
6 0 0
0 0 0
0 0 0
2 2 0
0 0 0
0 0 0
0 3 0
0 1 0
0 3 0
0 1 0
5 0 0
0 0 0
2 0 0
0 6 0
0 0 0
0 4 0
3 1 0
0 0 0
0 0 0
0 0 0
1 0 0
0 0 0
0 0 0
2 0 0
2 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 1 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
1 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
